Part,Value,Device,Package,Description
C1,22pF,C-USC0805,C0805,"CAPACITOR, American symbol"
C2,22pF,C-USC0805,C0805,"CAPACITOR, American symbol"
C3,10uF,C-EUC0805,C0805,"CAPACITOR, European symbol"
C4,22pF,C-USC0805,C0805,"CAPACITOR, American symbol"
C5,,CPOL-EUSMCA,SMC_A,"POLARIZED CAPACITOR, European symbol"
C6,10uF,C-EUC0805,C0805,"CAPACITOR, European symbol"
CONNECTOR_PINS,,MA05-2,MA05-2,PIN HEADER
F1,6V/0.5A,PPTC_HALF-AMP,1206,Resettable Fuse PPTC
IC1,MICROCHIP_PIC18F2580-I/ML,MICROCHIP_PIC18F2580-I/ML,MICROCHIP_QFN28-ML_6X6MM,28-Pin Enhanced Flash Microcontrollers with ECAN(TM) Technology
IC2,LM1117IMPX-ADJ,LM1117IMPX-ADJ,SOT223,
LED1,,LED_LED5MM,LED_LED5MM,LED
LED2,,LED_LED5MM,LED_LED5MM,LED
OPAMP_ANALOG_,ADWAITFS_LMC6464,ADWAITFS_LMC6464,ADWAITFS_SO14_LONGPADS,
Q1,CSM-7X-DU,CSM-7X-DU,CSM-7X-DU,SMD CRYSTAL
R1,47k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R2,47k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R3,47k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R4,47k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R5,1k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R6,4k7,R-EU_R0805,R0805,"RESISTOR, European symbol"
R7,470,R-EU_R0805,R0805,"RESISTOR, European symbol"
R8,10k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R9,1k,R-EU_R0805,R0805,"RESISTOR, European symbol"
R10,4k7,R-EU_R0805,R0805,"RESISTOR, European symbol"
R11,4k7,R-EU_R0805,R0805,"RESISTOR, European symbol"
SV1,,MA06-1,MA06-1,PIN HEADER
U1,TEXAS-INSTRUMENTS_BY_ELEMENT14_BATCH_1_SN65HVD1050D,TEXAS-INSTRUMENTS_BY_ELEMENT14_BATCH_1_SN65HVD1050D,TEXAS-INSTRUMENTS_BY_ELEMENT14_BATCH_1_SOIC127P600X175-8N,EMC OPTIMIZED CAN TRANSCEIVER
